id_cp_interaction,partner_receptor,partner_TF,protein_name_receptor,protein_name_TF,receptor_id,TF_symbol,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class
NA,FZD7_LRP6,O15178,NA,TBXT_HUMAN,FZD7_LRP6,TBXT,1,PMID:27641648;https://doi.org/10.1016/C2015-0-05642-8,LGarciaAlonso,NA,IIA_developmental
NA,P41235,P41235,HNF4A_HUMAN,HNF4A_HUMAN,HNF4A,HNF4A,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q14541,Q14541,HNF4G_HUMAN,HNF4G_HUMAN,HNF4G,HNF4G,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P35367,P19838,HRH1_HUMAN,NFKB1_HUMAN,HRH1,NFKB1,1,PMID:23268457,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL1_receptor,P19838,NA,NFKB1_HUMAN,IL1_receptor,NFKB1,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL10_receptor,P40763,NA,STAT3_HUMAN,IL10_receptor,STAT3,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL10_receptor,P42224,NA,STAT1_HUMAN,IL10_receptor,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL10_receptor,P42229,NA,STA5A_HUMAN,IL10_receptor,STAT5A,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL10_receptor,P51692,NA,STA5B_HUMAN,IL10_receptor,STAT5B,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL12_receptor,P40763,NA,STAT3_HUMAN,IL12_receptor,STAT3,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL12_receptor,P42224,NA,STAT1_HUMAN,IL12_receptor,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL12_receptor,P42226,NA,STAT6_HUMAN,IL12_receptor,STAT6,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL12_receptor,P42229,NA,STA5A_HUMAN,IL12_receptor,STAT5A,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL12_receptor,P51692,NA,STA5B_HUMAN,IL12_receptor,STAT5B,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL12_receptor,Q14765,NA,STAT4_HUMAN,IL12_receptor,STAT4,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL2_receptor_I,P40763,NA,STAT3_HUMAN,IL2_receptor_I,STAT3,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL2_receptor_I,P42224,NA,STAT1_HUMAN,IL2_receptor_I,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL2_receptor_I,P42226,NA,STAT6_HUMAN,IL2_receptor_I,STAT6,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL2_receptor_I,P42229,NA,STA5A_HUMAN,IL2_receptor_I,STAT5A,1,Uniprot;PMID: 9597132,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL2_receptor_I,P51692,NA,STA5B_HUMAN,IL2_receptor_I,STAT5B,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL2_receptor_I,Q14765,NA,STAT4_HUMAN,IL2_receptor_I,STAT4,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL3_receptor,P40763,NA,STAT3_HUMAN,IL3_receptor,STAT3,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL3_receptor,P42224,NA,STAT1_HUMAN,IL3_receptor,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL3_receptor,P42226,NA,STAT6_HUMAN,IL3_receptor,STAT6,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL3_receptor,P42229,NA,STA5A_HUMAN,IL3_receptor,STAT5A,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL3_receptor,P51692,NA,STA5B_HUMAN,IL3_receptor,STAT5B,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL4_receptor,P42226,NA,STAT6_HUMAN,IL4_receptor,STAT6,1,PMID: 8602263; PMID: 25145352,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL4_receptor,P42229,NA,STA5A_HUMAN,IL4_receptor,STAT5A,1,NA,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL5_receptor,Q06945,NA,SOX4_HUMAN,IL5_receptor,SOX4,1,PMID:11498591,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL6_receptor,P40763,NA,STAT3_HUMAN,IL6_receptor,STAT3,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL6_receptor,P42224,NA,STAT1_HUMAN,IL6_receptor,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,IL7_receptor,P42229,NA,STA5A_HUMAN,IL7_receptor,STAT5A,1,PMID: 9597132,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P06213,Q12778,INSR_HUMAN,FOXO1_HUMAN,INSR,FOXO1,-1,Uniprot,LGarciaAlonso,NA,IIA_developmental
NA,P10721,P40763,KIT_HUMAN,STAT3_HUMAN,KIT,STAT3,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P10721,P42224,KIT_HUMAN,STAT1_HUMAN,KIT,STAT1,1,Uniprot;PMID:10358045;PMID: 9355737,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P10721,P42229,KIT_HUMAN,STA5A_HUMAN,KIT,STAT5A,1,Uniprot;PMID:10358045,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P10721,P51692,KIT_HUMAN,STA5B_HUMAN,KIT,STAT5B,1,Uniprot;PMID:10358045,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P22888,O43524,NA,FOXO3_HUMAN,LHCGR,FOXO3,-1,PMID:11875118,LGarciaAlonso,NA,IIA_developmental
NA,P22888,Q12778,NA,FOXO1_HUMAN,LHCGR,FOXO1,-1,PMID:11875118,LGarciaAlonso,NA,IIA_developmental
NA,Q12866,P42224,NA,STAT1_HUMAN,MERTK,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P46531,O95936,NA,EOMES_HUMAN,NOTCH1,EOMES,1,PMID:19265115,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P46531,Q06330,NA,SUH_HUMAN,NOTCH1,RBPJ,1,Uniprot;signalink;PMID:10637481;PMID:8749394;NetPath;PMID: 22718343; PMID: 12039915; PMID: 16921404,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P46531,Q14469,NA,HES1_HUMAN,NOTCH1,HES1,1,Uniprot;NetPath;PMID 10520600,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P46531,Q5TA89,NA,HES5_HUMAN,NOTCH1,HES5,1,Uniprot;NetPath;PMID 10520600,LGarciaAlonso;RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P46531,Q9UBP5,NA,HEY2_HUMAN,NOTCH1,HEY2,1,Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P46531,Q9Y5J3,NA,HEY1_HUMAN,NOTCH1,HEY1,1,Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
