Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A6Q8PG62	A0A6Q8PG62_HUMAN	alanine--tRNA ligase (EC 6.1.1.7)	NA	AARS1
A0A6Q8PG63	A0A6Q8PG63_HUMAN	Platelet-activating factor acetylhydrolase IB subunit beta	NA	PAFAH1B1
A0A6Q8PG68	A0A6Q8PG68_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PG72	A0A6Q8PG72_HUMAN	Calpastatin (Calpain inhibitor)	NA	CAST
A0A6Q8PG75	A0A6Q8PG75_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PG86	A0A6Q8PG86_HUMAN	Elongator complex protein 1	NA	ELP1
A0A6Q8PGA2	A0A6Q8PGA2_HUMAN	Glycine amidinotransferase (EC 2.1.4.1) (L-arginine:glycine amidinotransferase)	NA	GATM
A0A6Q8PGA4	A0A6Q8PGA4_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PGA5	A0A6Q8PGA5_HUMAN	E3 ubiquitin-protein ligase Midline-1 (EC 2.3.2.27) (RING finger protein Midline-1) (RING-type E3 ubiquitin transferase Midline-1) (Tripartite motif-containing protein 18)	NA	MID1
A0A6Q8PGA6	A0A6Q8PGA6_HUMAN	Elongator complex protein 1 (IkappaB kinase complex-associated protein)	NA	ELP1
A0A6Q8PGA8	A0A6Q8PGA8_HUMAN	Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase)	NA	GARS1
A0A6Q8PGB1	A0A6Q8PGB1_HUMAN	Centrosomal protein of 290 kDa	NA	CEP290
A0A6Q8PGB9	A0A6Q8PGB9_HUMAN	Riboflavin transporter	NA	SLC52A2
A0A6Q8PGC4	A0A6Q8PGC4_HUMAN	IkappaB kinase complex-associated protein	NA	ELP1
A0A6Q8PGC9	A0A6Q8PGC9_HUMAN	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein)	NA	NKAIN3
A0A6Q8PGD2	A0A6Q8PGD2_HUMAN	Glutamate receptor	NA	GRIN2A
A0A6Q8PGD3	A0A6Q8PGD3_HUMAN	Protein NDRG1 (N-myc downstream-regulated gene 1 protein)	NA	NDRG1
A0A6Q8PGE0	A0A6Q8PGE0_HUMAN	RNA binding protein fox-1 homolog 1	A2BP1	RBFOX1
A0A6Q8PGE2	A0A6Q8PGE2_HUMAN	Solute carrier family 52, riboflavin transporter, member 2	NA	SLC52A2
